#Command-Line Arguments: /home/student/hpc26s60/hpc/bcast/./reprompi-dev/build/bin/mpibenchmark --msizes-list=1048576,10485760 --nrep=10 --calls-list=MPI_Bcast
#MPI calls:
#	MPI_Bcast
#Message sizes:
#	1048576
#	10485760
#@operation=MPI_BOR
#@datatype=MPI_BYTE
#@datatype_extent_bytes=1
#@datatype_size_bytes=1
#@root_proc=0
#@reproMPIcommitSHA1=d40429c283ca80d541a583f44fcb67901a13086f
#@nprocs=512
#@clock=MPI_Wtime
#@clock_tick=0.0000000010
#@clocksync=HCA3O
#@procsync=MPI_Barrier
#@runtime_type=local
#@nrep=10
                                              test       nrep        count    runtime_sec 
                                         MPI_Bcast          0      1048576   0.0163530310
                                         MPI_Bcast          1      1048576   0.0149799960
                                         MPI_Bcast          2      1048576   0.0191571260
                                         MPI_Bcast          3      1048576   0.0199850850
                                         MPI_Bcast          4      1048576   0.0104862020
                                         MPI_Bcast          5      1048576   0.0076114070
                                         MPI_Bcast          6      1048576   0.0155961750
                                         MPI_Bcast          7      1048576   0.0042712380
                                         MPI_Bcast          8      1048576   0.0079212190
                                         MPI_Bcast          9      1048576   0.0018883270
                                         MPI_Bcast          0     10485760   0.1785631170
                                         MPI_Bcast          1     10485760   0.0474145620
                                         MPI_Bcast          2     10485760   0.0489337000
                                         MPI_Bcast          3     10485760   0.0934883780
                                         MPI_Bcast          4     10485760   0.0291997860
                                         MPI_Bcast          5     10485760   0.0831004370
                                         MPI_Bcast          6     10485760   0.0680781740
                                         MPI_Bcast          7     10485760   0.0780914280
                                         MPI_Bcast          8     10485760   0.0296447860
                                         MPI_Bcast          9     10485760   0.0141012800
# Benchmark started at Sun May  3 22:21:59 2026
# Execution time: 0s
